Company Name,Company Location,Ratting,Reviews,Company Type,Reason For Review
ASG Eye Hospital,Jaipur +74 other locations,3.4,(666),Healthcare,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Nvidia,Pune +20 other locations,3.5,(666),Hardware & Networking,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Aisin Automotive Haryana,Rohtak +27 other locations,4.1,(666),Auto Components,"Company Culture, Work Life Balance, Job Security"
Sterlite Power,New Delhi +75 other locations,4.0,(666),Power,"Salary & Benefits, Company Culture, Work Life Balance"
Neeyamo Enterprise Solutions,,3.6,(665),Pune +10 other locations,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
The Akshaya Patra Foundation,Bangalore / Bengaluru +66 other locations,4.4,(665),Non-Profit,"Work Life Balance, Company Culture, Work Satisfaction"
Lenovo,Bangalore / Bengaluru +81 other locations,4.0,(666),Consumer Electronics & Appliances,"Work Life Balance, Company Culture, Job Security"
Ramkrishna Forgings,Jamshedpur +24 other locations,3.5,(665),Auto Components,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Flash Electronics,Pune +22 other locations,3.5,(665),Electronics Manufacturing,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Ugro Capital,Mumbai +147 other locations,3.7,(665),NBFC,Salary & Benefits
Turtlemint,Mumbai +109 other locations,3.6,(664),Internet,"Promotions / Appraisal, Job Security, Work Satisfaction"
Protiviti,Gurgaon / Gurugram +26 other locations,3.1,(663),Management Consulting,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Testbook.com,Noida +31 other locations,3.4,(662),EdTech,"Job Security, Promotions / Appraisal, Work Life Balance"
Mitsubishi Electric India,Pune +49 other locations,4.2,(662),Electronics Manufacturing,"Company Culture, Work Life Balance, Job Security"
Kutumbh Care,Noida +160 other locations,3.9,(661),Recruitment,"Work Life Balance, Work Satisfaction, Salary & Benefits"
Universal Sompo General Insurance,Mumbai +109 other locations,4.4,(661),Insurance,"Work Life Balance, Company Culture, Job Security"
Cohesity,Pune +44 other locations,3.8,(661),Software Product,"Work Life Balance, Company Culture, Salary & Benefits"
Moglix,Noida +38 other locations,3.4,(661),Internet,"Job Security, Promotions / Appraisal, Work Satisfaction"
Quess IT Staffing Solutions,,3.2,(661),Bangalore / Bengaluru +55 other locations,"Promotions / Appraisal, Skill Development / Learning, Company Culture"
Medreich,Bangalore / Bengaluru +14 other locations,3.8,(660),Pharma,Job Security
Redcliffe Labs,New Delhi +79 other locations,3.9,(661),Healthcare,"Work Life Balance, Skill Development / Learning, Salary & Benefits"
Gartner,Gurgaon / Gurugram +18 other locations,3.8,(661),Management Consulting,"Company Culture, Work Life Balance, Job Security"
Delta Electronics,Bangalore / Bengaluru +42 other locations,4.0,(660),Electronics Manufacturing,"Job Security, Work Life Balance"
Raychem RPG,Mumbai +29 other locations,3.7,(659),Electrical Equipment,"Promotions / Appraisal, Job Security"
Bayer Crop Science Vegetable Seeds,,4.2,(659),Bangalore / Bengaluru +133 other locations,"Work Life Balance, Company Culture, Skill Development / Learning"
DAV Public School,New Delhi +152 other locations,4.0,(658),Education & Training,"Skill Development / Learning, Salary & Benefits"
Csc E Governance Services,New Delhi +199 other locations,3.8,(659),Government,"Promotions / Appraisal, Salary & Benefits, Company Culture"
LG Soft India,Bangalore / Bengaluru +15 other locations,3.0,(658),Consumer Electronics & Appliances,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Writer Corporation,Mumbai +83 other locations,3.4,(658),Facility Management Services,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
NSB Bpo Solutions,Noida +83 other locations,2.9,(658),BPO,"Promotions / Appraisal, Salary & Benefits, Job Security"
Caparo Engineering India,Chennai +34 other locations,4.0,(657),Auto Components,"Work Life Balance, Job Security, Skill Development / Learning"
Government of India,New Delhi +157 other locations,4.2,(658),Government,"Job Security, Work Life Balance, Company Culture"
Thriveni Earthmovers,Jamshedpur +43 other locations,4.0,(656),Metals & Mining,"Job Security, Skill Development / Learning, Salary & Benefits"
Bharat Serums and Vaccines,Mumbai +61 other locations,4.0,(655),Pharma,"Company Culture, Work Life Balance"
L&T Power,Vadodara +95 other locations,3.9,(655),Power,"Job Security, Skill Development / Learning"
Patel Engineering,Mumbai +66 other locations,4.0,(655),Engineering & Construction,"Job Security, Work Life Balance, Company Culture"
Prince Pipes & Fittings,Mumbai +71 other locations,4.1,(655),Building Material,"Work Life Balance, Salary & Benefits, Company Culture"
Wuerth,Pune +64 other locations,3.7,(655),Industrial Machinery,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Orient Cement,Hyderabad / Secunderabad +68 other locations,4.4,(654),Building Material,"Company Culture, Work Life Balance, Job Security"
Visteon,Chennai +21 other locations,3.3,(654),Software Product,"Work Life Balance, Company Culture, Promotions / Appraisal"
Ramky Infrastructure,Hyderabad / Secunderabad +50 other locations,4.2,(654),Engineering & Construction,"Job Security, Salary & Benefits, Company Culture"
Cogoport,Mumbai +13 other locations,3.2,(654),Internet,"Job Security, Company Culture, Work Satisfaction"
Redington,Chennai +48 other locations,4.0,(653),Hardware & Networking,"Job Security, Company Culture, Work Life Balance"
Amrit Cement,Guwahati +46 other locations,4.1,(653),Building Material,"Skill Development / Learning, Company Culture, Work Life Balance"
Titan Eye Plus,Kolkata +126 other locations,4.2,(653),Other,"Skill Development / Learning, Company Culture, Work Life Balance"
Transrail Lighting,Mumbai +90 other locations,4.0,(653),Engineering & Construction,"Job Security, Salary & Benefits, Work Life Balance"
Apple,Bangalore / Bengaluru +103 other locations,4.3,(652),Consumer Electronics & Appliances,"Company Culture, Work Life Balance, Skill Development / Learning"
Micro Turners,Baddi +40 other locations,3.9,(650),Auto Components,Skill Development / Learning
BASF,Mumbai +88 other locations,4.2,(650),Chemicals,"Company Culture, Work Life Balance, Work Satisfaction"
Writer Information Management Services,Mumbai +62 other locations,3.2,(650),BPO,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Videocon d2h,New Delhi +116 other locations,3.9,(649),Internet,"Company Culture, Work Life Balance, Skill Development / Learning"
HRH Next Services,Hyderabad / Secunderabad +21 other locations,3.0,(650),BPO,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
Doosan Power Systems,Gurgaon / Gurugram +30 other locations,4.2,(649),Power,"Company Culture, Work Life Balance, Work Satisfaction"
Sandvik Asia,Pune +36 other locations,4.1,(648),Industrial Machinery,"Salary & Benefits, Company Culture, Work Life Balance"
IHG,New Delhi +45 other locations,3.7,(648),Hospitality,"Promotions / Appraisal, Salary & Benefits"
PPG Asian Paints,Mumbai +54 other locations,3.9,(647),Chemicals,"Job Security, Salary & Benefits"
Mindsprint,Chennai +7 other locations,3.7,(646),IT Services & Consulting,"Job Security, Skill Development / Learning"
Bisk Farm,Kolkata +124 other locations,4.0,(646),Food Processing,"Job Security, Company Culture, Work Life Balance"
Goodyear,Aurangabad +64 other locations,3.5,(645),Auto Components,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Osource Global,Mumbai +25 other locations,3.5,(645),BPO,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
B. G. Shirke Construction Technology,Pune +26 other locations,4.2,(645),Engineering & Construction,"Job Security, Work Life Balance, Company Culture"
Leverage Edu,Noida +21 other locations,4.2,(644),EdTech,"Salary & Benefits, Company Culture, Skill Development / Learning"
Ness Digital Engineering,Bangalore / Bengaluru +11 other locations,3.4,(643),IT Services & Consulting,"Job Security, Promotions / Appraisal, Work Satisfaction"
YOKOGAWA,Bangalore / Bengaluru +23 other locations,3.9,(643),Industrial Automation,"Job Security, Work Life Balance"
Aurigo Software Technologies,Bangalore / Bengaluru +5 other locations,4.6,(642),Software Product,"Company Culture, Work Life Balance, Salary & Benefits"
Asb International,Mumbai +23 other locations,3.7,(642),Industrial Machinery,"Job Security, Skill Development / Learning"
Keventer,Kolkata +64 other locations,3.8,(642),FMCG,"Work Life Balance, Job Security"
Bahwan CyberTek,Chennai +20 other locations,3.5,(643),IT Services & Consulting,"Promotions / Appraisal, Job Security, Work Satisfaction"
ChannelPlay,Gurgaon / Gurugram +89 other locations,3.8,(642),Marketing & Advertising,"Company Culture, Work Life Balance"
